ticker,name,compositeFIGI,marketSector,securityType,securityDescription,exchangeCode,shareClassFIGI,sector,industryGroup,industry
2746Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2755Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2770014Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2784Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
279776Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2822069Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
285939Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
291784Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2942331Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2953349Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2964Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2968900Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2972Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
297504Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2987536Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2987Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2999130Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
300583Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
301710Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3022239Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3026360Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3029830Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
304024Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3054Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3075558Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3080867Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3133754Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3147596Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3147Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3153670Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
316419Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3179Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3253Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3277Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3286728Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
329556Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3301Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3346Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
334702Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3362726Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3393199Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3403545Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3414924Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3423152Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3459Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3517233Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3520842Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3546Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
355488Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3605818Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3619382Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3621240Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
363096Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3691661Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3692470Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
370506Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
375573Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3891289Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
390297Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
399463Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41018Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45200Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45861Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4621824Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
502466Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
504369Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
519239Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
54279Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
544791Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
548227Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
571300Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
605018Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
605555Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
611647Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
62553Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
653707Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
667517Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
677004Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
680884Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
68335Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
693365Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
69895Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
723588Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
739306Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
748957Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
764144Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8206908Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8214761Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
827663Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8277831Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8375930Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8394653Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
841273Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
89236Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
896661Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
90457Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
929530Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
93916Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
945852Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
950967Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
968734Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
987200Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9876544D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9876549D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9876566D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A,AGILENT TECHNOLOGIES INC,BBG000C2V3D6,Equity,Common Stock,A,N/A,BBG001SCTQY4,N/A,N/A,N/A
AA,ALCOA CORP,BBG00B3T3HD3,Equity,Common Stock,AA,N/A,BBG00B3T3HF1,N/A,N/A,N/A
AAL,AMERICAN AIRLINES GROUP INC,BBG005P7Q881,Equity,Common Stock,AAL,N/A,BBG005P7Q907,N/A,N/A,N/A
AALEA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AAMRQ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AAP,ADVANCE AUTO PARTS INC,BBG000F7RCJ1,Equity,Common Stock,AAP,N/A,BBG001SD2SB2,N/A,N/A,N/A
AAPL,APPLE INC,BBG000B9XRY4,Equity,Common Stock,AAPL,N/A,BBG001S5N8V8,N/A,N/A,N/A
